Имя клиента,Тип,Проставлено в CRM (подал сам),Проверено,Подали (оплатил),Проставлено в CRM (оплатил),Помечено
"Александров Александр","submitted_self",0,0,0,0,0
"Борисова Анна","submitted_self",1,0,0,0,0
"Волков Дмитрий","submitted_self",1,1,0,0,0
"Григорьева Мария","paid",0,0,1,0,0
"Дмитриев Иван","paid",0,0,1,1,0
"Егорова Елена","paid",0,0,1,1,1
"Жуков Сергей","submitted_self",0,0,0,0,0
"Зайцева Ольга","submitted_self",1,1,0,0,0
"Иванова Наталья","paid",0,0,1,1,1
"Ковалев Андрей","paid",0,0,1,1,1
